Origin,Coffee,Bags,Unit,Farm / Name,Process,Cert.,Cup Profile,Avail.,€ / KG,$ / KG,Info,Unnamed: 12,offer_date
COLOMBIA,ARABICA SPOT,1,35,Hacienda La Claudina Pink Bourbon,natural,,,Hamb,8.3,9.96,,,2021-05-03
COLOMBIA,ARABICA SPOT,59,70,Los Bucaros Maragogype,washed,,"caramel, hazelnut, chocolate",Hamb,8.3,9.96,Factsheet,,2021-05-03
COSTA RICA,ARABICA SPOT,149,69,SHB EP Las Trojas Superior,washed,,"caramel, hazelnut, cocoa",Hamb,4.94,5.92,,,2021-05-03
COSTA RICA,ARABICA SPOT,235,69,SHB EP La Pastora Tarrazú,washed,,"caramel, honey, smooth",Hamb,5.12,6.14,Factsheet,,2021-05-03
EL SALVADOR,ARABICA SPOT,53,69,"SHG EP ""Finca Los Naranjos""",washed,,"molasses, almond, chocolate",Hamb,3.73,4.48,,,2021-05-03
EL SALVADOR,ARABICA SPOT,79,69,Altura EP El Borbollon,washed,,"hazelnut, caramel, dark choc",Hamb,3.83,4.6,Factsheet,,2021-05-03
EL SALVADOR,ARABICA SPOT,275,69,SHG EP Fairtrade,washed,FT,"nutty, almond, sugar cane",Hamb,3.89,4.67,Factsheet,,2021-05-03
ETHIOPIA,ARABICA SPOT,162,60,Sidamo Waru Grade 2,washed,,"lemon, kiwi, green apple",Hamb,5.0,6.0,,,2021-05-03
ETHIOPIA,ARABICA SPOT,103,60,Guji Shakiso Grade 2,washed,,"cane sugar, jasmine, raspberry",Hamb,5.18,6.22,,,2021-05-03
ETHIOPIA,ARABICA SPOT,147,60,Sidamo Grade 2 Organic,washed,ORG,"kumquat, kiwi, lemon",Hamb,5.67,6.81,,,2021-05-03
ETHIOPIA,ARABICA SPOT,114,60,Sidamo Grade 2 Fairtrade Organic,washed,FTO,"kumquat, kiwi, lemon",Hamb,6.1,7.32,,,2021-05-03
GUATEMALA,ROBUSTA SPOT,300,69,El Pacifico,washed,,very soft,Hamb,3.3,3.96,Factsheet,,2021-05-03
GUATEMALA,ARABICA SPOT,275,69,El Jaguar,washed,,"caramel, hazelnut",Hamb,4.64,5.57,Factsheet,,2021-05-03
GUATEMALA,ARABICA SPOT,7,69,Capuchinas Genuine Antigua,washed,,"floral, nuts, caramel",Hamb,5.29,6.34,,,2021-05-03
GUATEMALA,ARABICA SPOT,240,69,Plantation Pampojila,washed,RFA,"nectarine, brazil nut",Hamb,5.64,6.77,,,2021-05-03
GUATEMALA,DECAFFEINATED,2,60,Guatemala SHB EP CO² Decaffeinated,CO² decaf,,"milk chocolate, hazelnut, almond",Hamb,6.24,7.49,,,2021-05-03
HONDURAS,ARABICA SPOT,146,69,SHG EP Genuine Marcala,washed,,"caramell, nuts, milk choc",Hamb,4.07,4.89,,,2021-05-03
HONDURAS,ARABICA SPOT,450,69,Finca Rio Colorado,washed,,"nuts, choc, brown sugar",Hamb,4.24,5.09,Factsheet,,2021-05-03
HONDURAS,ARABICA SPOT,63,69,SHG EP Marcala Organic,washed,ORG,"caramell, floral, milk choc",Hamb,4.29,5.15,,,2021-05-03
HONDURAS,ARABICA SPOT,33,69,SHG EP Organic UTZ,washed,UTZ,"caramell, nuts, milk choc",Hamb,4.33,5.2,,,2021-05-03
HONDURAS,ARABICA SPOT,105,69,SHG EP Marcala Fairtrade Organic,washed,FTO,"caramell, floral, milk choc",Hamb,4.5,5.4,,,2021-05-03
HONDURAS,DECAFFEINATED,136,60,Honduras SHG EP CO² Decaffeinated Organic,CO² decaf,ORG,"chocolate, caramel",Hamb,5.9,6.94,,,2021-05-03
INDIA,ROBUSTA SPOT,126,60,Cherry AB,unwashed,,intense,Hamb,2.02,2.43,,,2021-05-03
INDIA,ROBUSTA SPOT,6,60,Parchment AB,washed,,soft,Hamb,2.31,2.78,,,2021-05-03
INDIA,ROBUSTA SPOT,61,60,Parchment AB Organic,washed,ORG,soft,Hamb,3.38,4.05,,,2021-05-03
INDIA,ARABICA SPOT,112,50,Monsooned Malabar Royal AA,unwashed,,"cedar wood, tabaco",Hamb,4.31,5.17,,,2021-05-03
INDONESIA,ARABICA SPOT,26,30,Java Ruby Rimbun,washed,,"watermelon, stone fruit",Hamb,11.24,13.49,,,2021-05-03
INDONESIA,ROBUSTA SPOT,109,60,Java Robusta sweet & mild,unwashed,,medium,Hamb,2.44,2.93,Factsheet,,2021-05-03
INDONESIA,ARABICA SPOT,176,60,Sumatra Mandheling Permata Gayo Grade 1 DP,wet-hulled,,"cedar wood, almond",Hamb,4.08,4.89,,,2021-05-03
INDONESIA,ARABICA SPOT,270,60,Sumatra Mandheling Grade 1 DP Fairtrade Organic,wet-hulled,FTO,"cedar wood, almond",Hamb,4.54,5.45,Factsheet,,2021-05-03
INDONESIA,ARABICA SPOT,96,60,Java Blawan Estate A/WP1-X,washed,,"chocolate, marzipan",Hamb,5.09,6.11,,,2021-05-03
INDONESIA,ARABICA SPOT,145,60,Java Jampit Estate A/WP1-X,washed,,"herbs, tabaco, nougat",Hamb,5.09,6.11,,,2021-05-03
INDONESIA,ARABICA SPOT,16,60,Java Mojang,washed,,"black tea, juicy, tropical",Hamb,5.55,6.66,,,2021-05-03
INDONESIA,ARABICA SPOT,34,60,Java Patuha Mountains,semi-washed,,"brazilian nut, almond",Hamb,6.1,7.32,,,2021-05-03
JAMAICA,ARABICA SPOT,11,15,Blue Mountain Grade 1 Wallendford Estate,washed,,"almond, nutty, creamy",Hamb,59.19,71.03,,,2021-05-03
KENYA,ARABICA SPOT,112,69,AB Plus Meru,washed,,"dried tomato, blood orange",Hamb,7.57,9.08,Factsheet,,2021-05-03
KENYA,ARABICA SPOT,13,69,Peaberry Plus Mukima,washed,,"black currant, dried tomato",Hamb,7.57,9.08,Factsheet,,2021-05-03
KENYA,ARABICA SPOT,89,69,AA Top Masai,washed,,"tomato, black currant",Hamb,8.23,9.88,Factsheet,,2021-05-03
MEXICO,ARABICA SPOT,18,69,Las Chicharras School Project,washed,,"yellow pepper, cashew, choc",Hamb,4.26,5.11,Factsheet,,2021-05-03
MEXICO,ARABICA SPOT,331,69,Finca el Flamingo Organic,washed,ORG,"caramel, almond, red apple",Hamb,4.53,5.44,Factsheet,,2021-05-03
NICARAGUA,ARABICA SPOT,170,69,Finca San Ramón Screen 18,washed,,"almond, lemon, tea like",Hamb,4.45,5.34,,,2021-05-03
PANAMA,ARABICA SPOT,11,15,Finca Los Limones natural,natural,,"blueberry, raisin, nougat",Hamb,23.46,28.15,Factsheet,,2021-05-03
PANAMA,ARABICA SPOT,147,60,SHB EP Boquete Finca El Salto,washed,,"honey, almond, nougat",Hamb,6.25,7.5,Factsheet,,2021-05-03
RWANDA,ARABICA SPOT,58,60,Rugali Screen 15up,washed,,"almond, green tea",Hamb,4.28,5.14,Factsheet,,2021-05-03
