Origin,Coffee,Bags,Unit,Farm / Name,Process,Cert.,Cup Profile,Avail.,€ / KG,$ / KG,Info,Unnamed: 12,offer_date
EL SALVADOR,ARABICA SPOT,63,69,"SHG EP ""Finca Los Naranjos""",washed,,"molasses, almond, chocolate",Hamb,3.73,4.48,,,2021-04-23
EL SALVADOR,ARABICA SPOT,275,69,SHG EP Fairtrade,washed,FT,,Hamb,3.89,4.67,Factsheet,,2021-04-23
ETHIOPIA,ARABICA SPOT,15,60,Sidamo Grade 2,washed,,,Hamb,4.48,5.38,,,2021-04-23
ETHIOPIA,ARABICA SPOT,218,60,Sidamo Grade 2 Organic,washed,ORG,"kumquat, kiwi, lemon",Hamb,5.49,6.59,,,2021-04-23
ETHIOPIA,ARABICA SPOT,120,60,Sidamo Grade 2 Fairtrade Organic,washed,FTO,,Hamb,6.1,7.32,,,2021-04-23
GUATEMALA,ROBUSTA SPOT,304,69,El Pacifico,washed,,very soft,Hamb,3.12,3.75,Factsheet,,2021-04-23
GUATEMALA,ARABICA SPOT,410,69,El Jaguar,washed,,"caramel, hazelnut",Hamb,4.46,5.35,Factsheet,,2021-04-23
GUATEMALA,ARABICA SPOT,18,69,Capuchinas Genuine Antigua,washed,,"floral, nuts, caramel",Hamb,5.11,6.13,,,2021-04-23
GUATEMALA,DECAFFEINATED,9,60,Guatemala SHB EP CO² Decaffeinated,CO² decaf,,"milk chocolate, hazelnut, almond",Hamb,6.06,7.27,,,2021-04-23
HONDURAS,ARABICA SPOT,251,69,SHG EP Marcala Organic,washed,ORG,"caramell, floral, milk choc",Hamb,4.02,4.83,,,2021-04-23
HONDURAS,ARABICA SPOT,300,69,SHG EP Organic UTZ,washed,UTZ,"caramell, nuts, milk choc",Hamb,4.06,4.87,,,2021-04-23
HONDURAS,ARABICA SPOT,230,69,Finca Rio Colorado,washed,,"nuts, choc, brown sugar",Hamb,4.06,4.87,Factsheet,,2021-04-23
INDIA,ROBUSTA SPOT,136,60,Cherry AB,unwashed,,intense,Hamb,1.96,2.36,,,2021-04-23
INDIA,ROBUSTA SPOT,53,60,Parchment AB,washed,,soft,Hamb,2.25,2.71,,,2021-04-23
INDIA,ROBUSTA SPOT,129,60,Parchment AB Organic,washed,ORG,soft,Hamb,3.32,3.98,,,2021-04-23
INDIA,ARABICA SPOT,194,50,Monsooned Malabar Royal AA,unwashed,,,Hamb,4.13,4.96,,,2021-04-23
INDONESIA,ARABICA SPOT,26,30,Java Ruby Rimbun,washed,,"watermelon, stone fruit",Hamb,11.24,13.49,,,2021-04-23
INDONESIA,ROBUSTA SPOT,120,60,Java Robusta sweet & mild,unwashed,,medium,Hamb,2.38,2.86,Factsheet,,2021-04-23
INDONESIA,ARABICA SPOT,180,60,Sumatra Mandheling Permata Gayo Grade 1 DP,wet-hulled,,"cedar wood, almond",Hamb,4.08,4.89,,,2021-04-23
INDONESIA,ARABICA SPOT,116,60,Sumatra Mandheling Gayo Mountains Grade 1 TP Organic,wet-hulled,ORG,"cedar wood, almond",Hamb,4.8,5.75,Factsheet,,2021-04-23
INDONESIA,ARABICA SPOT,131,60,Java Blawan Estate A/WP1-X,washed,,,Hamb,5.09,6.11,,,2021-04-23
INDONESIA,ARABICA SPOT,150,60,Java Jampit Estate A/WP1-X,washed,,,Hamb,5.09,6.11,,,2021-04-23
INDONESIA,ARABICA SPOT,17,60,Java Mojang,washed,,"black tea, juicy, tropical",Hamb,5.55,6.66,,,2021-04-23
INDONESIA,ARABICA SPOT,34,60,Java Patuha Mountains,semi-washed,,"brazilian nut, almond",Hamb,6.1,7.32,,,2021-04-23
JAMAICA,ARABICA SPOT,12,15,Blue Mountain Grade 1 Wallendford Estate,washed,,,Hamb,59.19,71.03,,,2021-04-23
MEXICO,ARABICA SPOT,53,69,Finca el Flamingo Organic,washed,ORG,,Hamb,4.35,5.22,,,2021-04-23
NICARAGUA,ARABICA SPOT,229,69,Finca San Ramón Screen 18,washed,,"almond, lemon, tea like",Hamb,4.26,5.11,,,2021-04-23
PANAMA,ARABICA SPOT,13,15,Finca Los Limones natural,natural,,"blueberry, raisin, nougat",Hamb,23.37,28.04,Factsheet,,2021-04-23
RWANDA,ARABICA SPOT,68,60,Rugali Screen 15up,washed,,"almond, green tea",Hamb,4.28,5.14,Factsheet,,2021-04-23
TANZANIA,ARABICA SPOT,21,60,Burka Estate AB,washed,,"green tea, rosehip, floral",Hamb,4.85,5.82,Factsheet,,2021-04-23
BLEND,DECAFFEINATED,101,60,Espresso Blend DCM Decaffeinated,DCM decaf,,"dark chocolate, hazelnut",Hamb,4.35,5.26,,,2021-04-28
BRAZIL,ARABICA SPOT,460,59,Santos Aquarela NY2 17/18 s.s. fine cup,natural,,"chocolate, almond",Hamb,2.8,3.39,,,2021-04-28
BRAZIL,ARABICA SPOT,65,59,Cerrado Doce Diamantina NY2 16up natural,natural,,"hazelnut, almond, milk chocolate",Hamb,2.88,3.48,,,2021-04-28
BRAZIL,ARABICA SPOT,710,59,Mogiana Bella Giana NY2 17/18 s.s. fine cup pulped natural,pulped natural,,"hazelnut, cream",Hamb,2.95,3.57,Factsheet,,2021-04-28
BRAZIL,ARABICA SPOT,99,59,Santos NY2 Screen 19 s.s. fine cup,natural,,"hazelnut, almond, milk chocolate",Hamb,3.24,3.92,Factsheet,,2021-04-28
BRAZIL,ARABICA SPOT,16,59,Donas do Café Project NY2 16up natural,natural,,"caramel, nutty, milk chocolate",Hamb,3.5,4.23,Factsheet,,2021-04-28
BRAZIL,ARABICA SPOT,25,59,Donas do Café Project NY2 16up pulped natural,pulped natural,,"fig, almond, cream",Hamb,3.68,4.45,Factsheet,,2021-04-28
BRAZIL,ARABICA SPOT,263,59,Fazenda Mariano NY2 16up Yellow Bourbon pulped natural,pulped natural,,"almond, honey, chocolate",Hamb,3.77,4.56,Factsheet,,2021-04-28
BRAZIL,ARABICA SPOT,36,59,Fazenda Passeio NY2 16up pulped natural,pulped natural,,"molasses, honey, floral",Hamb,4.1,4.96,Factsheet,,2021-04-28
BRAZIL,ARABICA SPOT,1,59,Fazenda Carmo Estate NY2 16up pulped natural,pulped natural,,"hazelnut, caramel, milk chocolate",Hamb,4.1,4.96,Factsheet,,2021-04-28
BRAZIL,ARABICA SPOT,9,59,Fazenda Capoeira 'Terra Preta' NY2 16up pulped natural,pulped natural,,"molasses, hazelnut, malic",Hamb,4.14,5.0,Factsheet,,2021-04-28
BRAZIL,ARABICA SPOT,59,59,Fazenda Lagoa NY2 16up pulped natural,pulped natural,,"fig, hazelnut",Hamb,4.23,5.11,Factsheet,,2021-04-28
