Origin,Coffee,Bags,Unit,Farm / Name,Process,Cert.,Cup Profile,Avail.,€ / KG,$ / KG,Info,Unnamed: 12,offer_date
"HONDURAS,ARABICA SPOT,300,69kg,SHG EP Organic UTZ,washed,UTZ,""caramell, nuts, milk choc"",Hamb,""3,95€"",""4,68$"",,,2021-04-14"
"HONDURAS,ARABICA SPOT,230,69kg,Finca Rio Colorado,washed,,""nuts, choc, brown sugar"",Hamb,""4,04€"",""4,79$"",Factsheet,,2021-04-14"
"INDIA,ROBUSTA SPOT,140,60kg,Cherry AB,unwashed,,intense,Hamb,""1,96€"",""2,33$"",,,2021-04-14"
"INDIA,ROBUSTA SPOT,120,60kg,Parchment AB,washed,,soft,Hamb,""2,26€"",""2,68$"",,,2021-04-14"
"INDIA,ROBUSTA SPOT,129,60kg,Parchment AB Organic,washed,ORG,soft,Hamb,""3,33€"",""3,95$"",,,2021-04-14"
"INDIA,ARABICA SPOT,206,50kg,Monsooned Malabar Royal AA,unwashed,,,Hamb,""4,02€"",""4,77$"",,,2021-04-14"
"INDONESIA,ROBUSTA SPOT,129,60kg,Java Robusta sweet & mild,unwashed,,medium,Hamb,""2,38€"",""2,83$"",Factsheet,,2021-04-14"
"INDONESIA,ARABICA SPOT,180,60kg,Sumatra Mandheling Permata Gayo Grade 1 DP,wet-hulled,,""cedar wood, almond"",Hamb,""4,13€"",""4,89$"",,,2021-04-14"
"INDONESIA,ARABICA SPOT,116,60kg,Sumatra Mandheling Gayo Mountains Grade 1 TP Organic,wet-hulled,ORG,""cedar wood, almond"",Hamb,""4,86€"",""5,75$"",Factsheet,,2021-04-14"
"JAMAICA,ARABICA SPOT,16,15kg,Blue Mountain Grade 1 Wallendford Estate,washed,,,Hamb,""59,94€"",""71,03$"",,,2021-04-14"
"NICARAGUA,ARABICA SPOT,245,69kg,Finca San Ramón Screen 18,washed,,""almond, lemon, tea like"",Hamb,""4,32€"",""5,11$"",,,2021-04-14"
"PANAMA,ARABICA SPOT,13,15kg,Finca Los Limones natural,natural,,""blueberry, raisin, nougat"",Hamb,""23,66€"",""28,04$"",Factsheet,,2021-04-14"
"PERU,ARABICA SPOT,1,69kg,SHB EP Grade 1 Kuelap Especial Fairtrade Organic,washed,FTO,""black currant, tomato, herbal"",Hamb,""4,97€"",""5,89$"",Factsheet,,2021-04-14"
"RWANDA,ARABICA SPOT,70,60kg,Rugali Screen 15up,washed,,""almond, green tea"",Hamb,""4,33€"",""5,14$"",Factsheet,,2021-04-14"
"TANZANIA,ARABICA SPOT,24,60kg,Burka Estate AB,washed,,""green tea, rosehip, floral"",Hamb,""4,73€"",""5,60$"",Factsheet,,2021-04-14"
